2025-05-27 13:17:00.272 [background-preinit] INFO  org.hibernate.validator.internal.util.Version.<clinit>(21) | HV000001: Hibernate Validator 6.2.5.Final
2025-05-27 13:17:00.316 [main] INFO  org.springframework.boot.StartupInfoLogger.logStarting(55) | Starting YudaoServerApplication using Java 1.8.0_432 on xiaoyudeMacBook-Pro.local with PID 22200 (/Users/xiaoyu/Desktop/autoee-crm-master/yudao-server/target/classes started by xiaoyu in /Users/xiaoyu/Desktop/autoee-crm-master)
2025-05-27 13:17:00.316 [main] INFO  org.springframework.boot.SpringApplication.logStartupProfileInfo(638) | The following 1 profile is active: "local"
2025-05-27 13:17:03.529 [main] INFO  org.jeecgframework.minidao.auto.MinidaoAutoConfiguration.miniDaoBeanScannerConfigurer(23) |  ******************* init miniDao config [ begin ] *********************** 
2025-05-27 13:17:03.530 [main] INFO  org.jeecgframework.minidao.auto.MinidaoAutoConfiguration.miniDaoBeanScannerConfigurer(25) |  ------ minidao.base-package ------- org.jeecg.modules.jmreport.desreport.*
2025-05-27 13:17:03.530 [main] INFO  org.jeecgframework.minidao.auto.MinidaoAutoConfiguration.miniDaoBeanScannerConfigurer(42) |  *******************  init miniDao config  [ end ] *********************** 
2025-05-27 13:17:03.829 [main] INFO  org.jeecgframework.minidao.factory.MiniDaoClassPathMapperScanner.doScan(48) | register minidao name is { org.jeecg.modules.jmreport.desreport.dao.JimuReportDao }
2025-05-27 13:17:03.830 [main] INFO  org.jeecgframework.minidao.factory.MiniDaoClassPathMapperScanner.doScan(48) | register minidao name is { org.jeecg.modules.jmreport.desreport.dao.JimuReportDataSourceDao }
2025-05-27 13:17:03.830 [main] INFO  org.jeecgframework.minidao.factory.MiniDaoClassPathMapperScanner.doScan(48) | register minidao name is { org.jeecg.modules.jmreport.desreport.dao.JimuReportDbDao }
2025-05-27 13:17:03.830 [main] INFO  org.jeecgframework.minidao.factory.MiniDaoClassPathMapperScanner.doScan(48) | register minidao name is { org.jeecg.modules.jmreport.desreport.dao.JimuReportDbFieldDao }
2025-05-27 13:17:03.830 [main] INFO  org.jeecgframework.minidao.factory.MiniDaoClassPathMapperScanner.doScan(48) | register minidao name is { org.jeecg.modules.jmreport.desreport.dao.JimuReportDbParamDao }
2025-05-27 13:17:03.830 [main] INFO  org.jeecgframework.minidao.factory.MiniDaoClassPathMapperScanner.doScan(48) | register minidao name is { org.jeecg.modules.jmreport.desreport.dao.JimuReportDictDao }
2025-05-27 13:17:03.830 [main] INFO  org.jeecgframework.minidao.factory.MiniDaoClassPathMapperScanner.doScan(48) | register minidao name is { org.jeecg.modules.jmreport.desreport.dao.JimuReportDictItemDao }
2025-05-27 13:17:03.830 [main] INFO  org.jeecgframework.minidao.factory.MiniDaoClassPathMapperScanner.doScan(48) | register minidao name is { org.jeecg.modules.jmreport.desreport.dao.JimuReportExportLogDao }
2025-05-27 13:17:03.830 [main] INFO  org.jeecgframework.minidao.factory.MiniDaoClassPathMapperScanner.doScan(48) | register minidao name is { org.jeecg.modules.jmreport.desreport.dao.JimuReportLinkDao }
2025-05-27 13:17:03.830 [main] INFO  org.jeecgframework.minidao.factory.MiniDaoClassPathMapperScanner.doScan(48) | register minidao name is { org.jeecg.modules.jmreport.desreport.dao.JimuReportMapDao }
2025-05-27 13:17:03.831 [main] INFO  org.jeecgframework.minidao.factory.MiniDaoClassPathMapperScanner.doScan(48) | register minidao name is { org.jeecg.modules.jmreport.desreport.dao.JimuReportShareDao }
2025-05-27 13:17:05.560 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer.initialize(108) | Tomcat initialized with port(s): 40061 (http)
2025-05-27 13:17:05.567 [main] INFO  org.apache.juli.logging.DirectJDKLog.log(173) | Initializing ProtocolHandler ["http-nio-40061"]
2025-05-27 13:17:05.569 [main] INFO  org.apache.juli.logging.DirectJDKLog.log(173) | Starting service [Tomcat]
2025-05-27 13:17:05.569 [main] INFO  org.apache.juli.logging.DirectJDKLog.log(173) | Starting Servlet engine: [Apache Tomcat/9.0.83]
2025-05-27 13:17:05.703 [main] INFO  org.apache.juli.logging.DirectJDKLog.log(173) | Initializing Spring embedded WebApplicationContext
2025-05-27 13:17:05.703 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.prepareWebApplicationContext(292) | Root WebApplicationContext: initialization completed in 5227 ms
2025-05-27 13:17:05.712 [main] INFO  org.jeecg.modules.jmreport.config.init.JimuReportConfiguration.afterPropertiesSet(91) |  Init JimuReport Config [ Token Interceptor & Resource Locations ] 
2025-05-27 13:17:06.682 [main] INFO  com.alibaba.druid.pool.DruidDataSource.init(673) | {dataSource-1,master} inited
